computations_done_times_samples,losses
852900,-0.004983610939234495
853200,-0.00498228007927537
853500,-0.004970433656126261
853800,-0.004971772897988558
854100,-0.004979468882083893
854400,-0.004976128228008747
854700,-0.004976377822458744
855000,-0.004970611538738012
855300,-0.004969508852809668
855600,-0.004960527177900076
855900,-0.004967743530869484
856200,-0.004976935219019651
856500,-0.004975344520062208
856800,-0.004975431133061647
857100,-0.004976353608071804
857400,-0.004980818368494511
857700,-0.004983126185834408
858000,-0.004968203138560057
858300,-0.004980334546416998
858600,-0.004988969303667545
858900,-0.00498428288847208
859200,-0.0050053345039486885
859500,-0.005003413651138544
859800,-0.004999871365725994
860100,-0.005005629267543554
860400,-0.004998060874640942
860700,-0.005002983845770359
861000,-0.005008751526474953
861300,-0.005012315232306719
861600,-0.005012601613998413
861900,-0.00500244228169322
862200,-0.005015511065721512
862500,-0.005014018155634403
862800,-0.005013184156268835
863100,-0.005023275502026081
863400,-0.0050134435296058655
863700,-0.005022481083869934
864000,-0.0050282529555261135
864300,-0.005025326274335384
864600,-0.005031479522585869
864900,-0.005029871594160795
865200,-0.005031737964600325
865500,-0.00503400107845664
865800,-0.005035944748669863
866100,-0.005025436170399189
866400,-0.005007706582546234
866700,-0.0050275688990950584
867000,-0.005026130937039852
867300,-0.005024021491408348
867600,-0.005036159418523312
867900,-0.005032102577388287
868200,-0.005031169392168522
868500,-0.005030995234847069
868800,-0.005037752445787191
869100,-0.0050498321652412415
869400,-0.005046945530921221
869700,-0.005048817954957485
870000,-0.005048760212957859
870300,-0.005050982814282179
870600,-0.005051464773714542
870900,-0.0050489455461502075
871200,-0.005056391470134258
871500,-0.005049383267760277
871800,-0.005048372317105532
872100,-0.005053241737186909
872400,-0.005050878971815109
872700,-0.005048319231718779
873000,-0.005055618938058615
873300,-0.005062245298177004
873600,-0.005063164513558149
873900,-0.005065389443188906
874200,-0.005065170116722584
874500,-0.005057492293417454
874800,-0.005051497370004654
875100,-0.005071604624390602
875400,-0.005060970317572355
875700,-0.005059364717453718
876000,-0.005065425299108028
876300,-0.00504468847066164
876600,-0.005072490312159061
876900,-0.005081788636744022
877200,-0.005084110889583826
877500,-0.005086156539618969
877800,-0.005084187723696232
878100,-0.005083620548248291
878400,-0.005075506865978241
878700,-0.005069108679890633
879000,-0.005083078518509865
879300,-0.0050948201678693295
879600,-0.005091112107038498
879900,-0.005082080606371164
880200,-0.005078144371509552
880500,-0.005083898082375526
880800,-0.005077661015093327
881100,-0.0050849104300141335
881400,-0.0050934129394590855
881700,-0.005091041326522827
882000,-0.005097999237477779
882300,-0.005072985775768757
882600,-0.005088689271360636
882900,-0.005088287405669689
883200,-0.005098060239106417
883500,-0.005094625987112522
883800,-0.005105962511152029
884100,-0.005109910853207111
884400,-0.005114661529660225
884700,-0.005122107453644276
885000,-0.005120309069752693
885300,-0.0051173260435462
885600,-0.005126523785293102
885900,-0.005116551648825407
886200,-0.005124748218804598
886500,-0.005122344940900803
886800,-0.005126656033098698
887100,-0.005133659113198519
887400,-0.0051301270723342896
887700,-0.005140149965882301
888000,-0.0051404922269284725
888300,-0.0051387008279562
888600,-0.005142007488757372
888900,-0.005150674842298031
889200,-0.005159974563866854
889500,-0.005155748222023249
889800,-0.005148210562765598
890100,-0.005142897833138704
890400,-0.005148024298250675
890700,-0.005152013152837753
891000,-0.005155231337994337
891300,-0.005150457378476858
891600,-0.00515225762501359
891900,-0.005158419255167246
892200,-0.005155126564204693
892500,-0.005154165904968977
892800,-0.005158185493201017
893100,-0.005169013515114784
893400,-0.00516925472766161
893700,-0.005144965834915638
894000,-0.005145840346813202
894300,-0.00516576087102294
894600,-0.005163061898201704
894900,-0.005149153061211109
895200,-0.0051538157276809216
895500,-0.005163600668311119
895800,-0.005172498524188995
896100,-0.005172539968043566
896400,-0.005175660829991102
896700,-0.005172261502593756
897000,-0.00517282634973526
897300,-0.005155882798135281
897600,-0.0051521118730306625
897900,-0.00517937121912837
898200,-0.0051779369823634624
898500,-0.005178166553378105
898800,-0.005170948803424835
899100,-0.005175245460122824
899400,-0.005179715808480978
899700,-0.0051701851189136505
900000,-0.005171776749193668
900300,-0.005167856812477112
900600,-0.005164874717593193
900900,-0.0051811146549880505
901200,-0.005175379104912281
901500,-0.005170734599232674
901800,-0.005175129044800997
902100,-0.005172692704945803
902400,-0.005183108616620302
902700,-0.005175055004656315
903000,-0.005183837842196226
903300,-0.005188827868551016
903600,-0.005187696777284145
903900,-0.0051863486878573895
904200,-0.005193668883293867
904500,-0.0052005876787006855
904800,-0.005197974853217602
905100,-0.005200042389333248
905400,-0.0051980349235236645
905700,-0.005199032370001078
906000,-0.005185444373637438
906300,-0.005191527772694826
906600,-0.005188112147152424
906900,-0.005178240593522787
907200,-0.005184313748031855
907500,-0.005183885805308819
907800,-0.005180234555155039
908100,-0.005184807348996401
908400,-0.005188956391066313
908700,-0.005185904446989298
909000,-0.005184289067983627
909300,-0.005190013442188501
909600,-0.005191350355744362
909900,-0.0051958803087472916
910200,-0.0051936493255198
910500,-0.005186330061405897
910800,-0.00518792076036334
911100,-0.005197725724428892
911400,-0.005194893106818199
911700,-0.005190084222704172
912000,-0.005195894278585911
912300,-0.00519768288359046
912600,-0.005204521119594574
912900,-0.005204536020755768
913200,-0.005209325347095728
913500,-0.00521271163597703
913800,-0.005205591209232807
914100,-0.00521410908550024
914400,-0.005196539219468832
914700,-0.0051919929683208466
915000,-0.005205772817134857
915300,-0.005208261776715517
915600,-0.005209965631365776
915900,-0.005209064576774836
916200,-0.00520523265004158
916500,-0.005207856651395559
916800,-0.005216455087065697
917100,-0.005220338702201843
917400,-0.00521846953779459
917700,-0.005220210645347834
918000,-0.005228571593761444
918300,-0.005221622530370951
918600,-0.005225952714681625
918900,-0.005238047800958157
919200,-0.005242527928203344
919500,-0.005239942576736212
919800,-0.005242767743766308
920100,-0.005233891308307648
920400,-0.00524060009047389
920700,-0.005249836016446352
921000,-0.0052438476122915745
921300,-0.005244757514446974
921600,-0.005249135196208954
921900,-0.0052267517894506454
922200,-0.005245457869023085
922500,-0.005253485403954983
922800,-0.005257775541394949
923100,-0.005258412566035986
923400,-0.005249176640063524
923700,-0.005255913361907005
924000,-0.005266668274998665
924300,-0.0052660549990832806
924600,-0.005264969076961279
924900,-0.005251435562968254
925200,-0.005264313891530037
925500,-0.0052670566365122795
925800,-0.005269018467515707
926100,-0.005270109977573156
926400,-0.005271445959806442
926700,-0.005262114107608795
927000,-0.005271507427096367
927300,-0.005268515087664127
927600,-0.00527906883507967
927900,-0.005277717486023903
928200,-0.005278519354760647
928500,-0.00527888722717762
928800,-0.005278339609503746
929100,-0.005281538236886263
929400,-0.00528679508715868
929700,-0.005287026520818472
930000,-0.005283011123538017
930300,-0.005286436527967453
930600,-0.00528363510966301
930900,-0.005287304520606995
931200,-0.005288527812808752
931500,-0.005285889841616154
931800,-0.00527952378615737
932100,-0.005286157131195068
932400,-0.005285812541842461
932700,-0.005280099809169769
933000,-0.0052818479016423225
933300,-0.005272535141557455
933600,-0.005261537153273821
933900,-0.005275241099298
934200,-0.005282196681946516
934500,-0.005282268859446049
934800,-0.00527185807004571
935100,-0.005262452177703381
935400,-0.00528013426810503
935700,-0.005281523335725069
936000,-0.0052835713140666485
936300,-0.005286889150738716
936600,-0.005282963626086712
936900,-0.005283941049128771
937200,-0.005284375511109829
937500,-0.005268904380500317
937800,-0.005283799022436142
938100,-0.005280826706439257
938400,-0.0052817282266914845
938700,-0.0052808127366006374
939000,-0.005274510942399502
939300,-0.005263928789645433
939600,-0.005275408737361431
939900,-0.005279133561998606
940200,-0.005280164536088705
940500,-0.005276912357658148
940800,-0.005278556142002344
941100,-0.005278029944747686
941400,-0.005270723253488541
941700,-0.005252204369753599
942000,-0.005256324540823698
942300,-0.0052251736633479595
942600,-0.005266421474516392
942900,-0.005270027555525303
943200,-0.0052718729712069035
943500,-0.005272094160318375
943800,-0.005275871604681015
944100,-0.005278230179101229
944400,-0.005282489582896233
944700,-0.0052851727232337
945000,-0.005280147772282362
945300,-0.005285922437906265
945600,-0.005283254198729992
945900,-0.005284058395773172
946200,-0.005284791812300682
946500,-0.005285849794745445
946800,-0.005290424916893244
947100,-0.0052878232672810555
947400,-0.005286344327032566
947700,-0.005284461658447981
948000,-0.005286853294819593
948300,-0.005277724005281925
948600,-0.005293330177664757
948900,-0.005293665453791618
949200,-0.005290784873068333
949500,-0.005282840225845575
949800,-0.0052871741354465485
950100,-0.005290991626679897
950400,-0.005291708745062351
950700,-0.005287529435008764
951000,-0.005292717833071947
951300,-0.005293574649840593
951600,-0.005290261935442686
951900,-0.005293150432407856
952200,-0.005293945781886578
952500,-0.005291762296110392
952800,-0.005291290581226349
953100,-0.005291907582432032
953400,-0.005303043872117996
953700,-0.005304619669914246
954000,-0.00530708534643054
954300,-0.005304479971528053
954600,-0.005306133069097996
954900,-0.00530692795291543
955200,-0.005308073945343494
955500,-0.005308683030307293
955800,-0.0053084916435182095
956100,-0.005313104018568993
956400,-0.005316001363098621
956700,-0.005316271912306547
957000,-0.00531076081097126
957300,-0.005316068418323994
957600,-0.005319762509316206
957900,-0.005320299416780472
958200,-0.005321926902979612
958500,-0.0053215911611914635
958800,-0.005313445348292589
959100,-0.0053216819651424885
959400,-0.005322011187672615
959700,-0.005322763230651617
960000,-0.0053192730993032455
960300,-0.005292585585266352
960600,-0.005322081968188286
960900,-0.005321687087416649
961200,-0.005323807708919048
961500,-0.005323351360857487
961800,-0.005322527140378952
962100,-0.005321418400853872
962400,-0.005327325314283371
962700,-0.005323725286871195
963000,-0.005309883505105972
963300,-0.005319046322256327
963600,-0.005324273835867643
963900,-0.005325024016201496
964200,-0.005326244980096817
964500,-0.005318820476531982
964800,-0.005321045871824026
965100,-0.0053207664750516415
965400,-0.005320885684341192
965700,-0.005325309932231903
966000,-0.005326344631612301
966300,-0.005325343459844589
966600,-0.005326815880835056
966900,-0.005322470795363188
967200,-0.005325291305780411
967500,-0.0053260354325175285
967800,-0.005327577702701092
968100,-0.005325052887201309
968400,-0.005323784425854683
968700,-0.005325861740857363
969000,-0.005327870603650808
969300,-0.005328723695129156
969600,-0.005322319455444813
969900,-0.0053200917318463326
970200,-0.005319275893270969
970500,-0.005300391931086779
970800,-0.005321974400430918
971100,-0.005316803231835365
971400,-0.005301148630678654
971700,-0.005286084022372961
972000,-0.005295761860907078
972300,-0.005303396377712488
972600,-0.005317255388945341
972900,-0.0053237429820001125
973200,-0.00532020628452301
973500,-0.005317999050021172
973800,-0.0053224083967506886
974100,-0.00532334903255105
974400,-0.005322143901139498
974700,-0.005318717565387487
975000,-0.005313636269420385
975300,-0.005324363708496094
975600,-0.005309829022735357
975900,-0.005323133897036314
976200,-0.0053215934894979
976500,-0.005299437791109085
976800,-0.005321812815964222
977100,-0.005323290359228849
977400,-0.005323771387338638
977700,-0.005322285927832127
978000,-0.0053252726793289185
978300,-0.005321697797626257
978600,-0.005321167409420013
978900,-0.005317900329828262
979200,-0.005321089643985033
979500,-0.005327335558831692
979800,-0.0053268009796738625
980100,-0.005328325554728508
980400,-0.005328758619725704
980700,-0.005329398438334465
981000,-0.005327481310814619
981300,-0.005326221697032452
981600,-0.00532959122210741
981900,-0.005330213345587254
982200,-0.005315480753779411
982500,-0.0053007761016488075
982800,-0.005327969789505005
983100,-0.005321902688592672
983400,-0.00532954279333353
983700,-0.005328678525984287
984000,-0.0053283474408090115
984300,-0.0053307898342609406
984600,-0.0053305309265851974
984900,-0.005326503422111273
985200,-0.005301899742335081
985500,-0.005320984870195389
985800,-0.005311696790158749
986100,-0.005330784246325493
986400,-0.005326173268258572
986700,-0.005321955308318138
987000,-0.0052902838215231895
987300,-0.005285784602165222
987600,-0.005329667124897242
987900,-0.005330696702003479
988200,-0.005328374449163675
988500,-0.005320421885699034
988800,-0.005323678255081177
989100,-0.0053273532539606094
989400,-0.0053194197826087475
989700,-0.005328018218278885
990000,-0.00532537791877985
990300,-0.005320356693118811
990600,-0.005326281301677227
990900,-0.005322164855897427
991200,-0.005311354994773865
991500,-0.005309329833835363
991800,-0.005327526479959488
992100,-0.005326748825609684
992400,-0.00532499747350812
992700,-0.005326226353645325
993000,-0.0053236517123878
993300,-0.005325604695826769
993600,-0.005317810457199812
993900,-0.005315815098583698
994200,-0.005326563958078623
994500,-0.005321213509887457
994800,-0.0053253863006830215
995100,-0.0053279888816177845
995400,-0.005322805605828762
995700,-0.005294593051075935
996000,-0.005327974911779165
996300,-0.005329317878931761
996600,-0.005329160485416651
996900,-0.005328833125531673
997200,-0.005331332795321941
997500,-0.005331374704837799
997800,-0.0053319926373660564
998100,-0.0053318277932703495
998400,-0.005331507883965969
998700,-0.005330064333975315
999000,-0.005328034982085228
999300,-0.005301138386130333
999600,-0.005324999336153269
999900,-0.005330531857907772
1000200,-0.005327685736119747
1000500,-0.005331278778612614
1000800,-0.005325064528733492
1001100,-0.005332224071025848
1001400,-0.005323625169694424
1001700,-0.005332461092621088
1002000,-0.00532954279333353
1002300,-0.005331972613930702
1002600,-0.005328001920133829
1002900,-0.005331728141754866
1003200,-0.005332738161087036
1003500,-0.005331784952431917
1003800,-0.005328841507434845
1004100,-0.005332042463123798
1004400,-0.005327025894075632
1004700,-0.0053310701623559
1005000,-0.005333174951374531
1005300,-0.005333196371793747
1005600,-0.0053310818038880825
1005900,-0.005328845698386431
1006200,-0.005303802900016308
1006500,-0.005311985965818167
1006800,-0.005329736042767763
1007100,-0.005327225662767887
1007400,-0.005319698713719845
1007700,-0.005332615226507187
1008000,-0.005332104861736298
1008300,-0.005319940857589245
1008600,-0.00532998563721776
1008900,-0.00531119154766202
1009200,-0.005332722794264555
1009500,-0.005328512284904718
1009800,-0.005332804284989834
1010100,-0.005332606378942728
1010400,-0.00533234141767025
1010700,-0.0053321197628974915
1011000,-0.00532594183459878
1011300,-0.00533177237957716
1011600,-0.005329006351530552
1011900,-0.005329496692866087
1012200,-0.005316418595612049
1012500,-0.005331004969775677
1012800,-0.005325554870069027
1013100,-0.005329035688191652
1013400,-0.005317096132785082
1013700,-0.005329510662704706
1014000,-0.005332614295184612
1014300,-0.005332652945071459
1014600,-0.005318426061421633
1014900,-0.005329618230462074
1015200,-0.0053281937725842
1015500,-0.005332075525075197
1015800,-0.005332735367119312
1016100,-0.005316899623721838
1016400,-0.005331536289304495
1016700,-0.005331255961209536
1017000,-0.00532857421785593
1017300,-0.005330442916601896
1017600,-0.005326052196323872
1017900,-0.005330548156052828
1018200,-0.0053264908492565155
1018500,-0.005328603554517031
1018800,-0.005332952830940485
1019100,-0.0053328173235058784
1019400,-0.005324732046574354
1019700,-0.005325302481651306
1020000,-0.005313118454068899
1020300,-0.005331140011548996
1020600,-0.005333056207746267
1020900,-0.005329105071723461
1021200,-0.00532513065263629
1021500,-0.005324457306414843
1021800,-0.005329439882189035
1022100,-0.005324812140315771
1022400,-0.005324019584804773
1022700,-0.005318185780197382
1023000,-0.005333083216100931
1023300,-0.005329480394721031
1023600,-0.005330558866262436
1023900,-0.005333141889423132
1024200,-0.005332886707037687
1024500,-0.005321888718754053
1024800,-0.005323969293385744
1025100,-0.005331642460078001
1025400,-0.005332664120942354
1025700,-0.0053322953172028065
1026000,-0.0053254300728440285
1026300,-0.0053282431326806545
1026600,-0.0053296335972845554
1026900,-0.005331031512469053
1027200,-0.005330435931682587
1027500,-0.0053316750563681126
1027800,-0.0053306156769394875
1028100,-0.005330382380634546
1028400,-0.005331303924322128
1028700,-0.005332415457814932
1029000,-0.0053287227638065815
1029300,-0.0053242831490933895
1029600,-0.005331421736627817
1029900,-0.0053319004364311695
1030200,-0.005331070628017187
1030500,-0.005326831713318825
1030800,-0.005331433843821287
1031100,-0.005330577027052641
1031400,-0.0053259339183568954
1031700,-0.005328692961484194
1032000,-0.005326342768967152
1032300,-0.005321356002241373
1032600,-0.005328141152858734
1032900,-0.005328834522515535
1033200,-0.005331126507371664
1033500,-0.00532986456528306
1033800,-0.005328706465661526
1034100,-0.00532660074532032
1034400,-0.00533019844442606
1034700,-0.005323655437678099
1035000,-0.005329510197043419
1035300,-0.005328291095793247
1035600,-0.0053285351023077965
1035900,-0.005319987423717976
1036200,-0.005328702740371227
1036500,-0.005327946972101927
1036800,-0.005329795181751251
1037100,-0.005327926483005285
1037400,-0.005319608841091394
1037700,-0.005321810021996498
1038000,-0.005325060337781906
1038300,-0.005328923463821411
1038600,-0.005328258965164423
1038900,-0.0053219059482216835
1039200,-0.005327425431460142
1039500,-0.00532436603680253
1039800,-0.005325408186763525
1040100,-0.005324481520801783
1040400,-0.0053239259868860245
1040700,-0.005300828721374273
1041000,-0.005324797239154577
1041300,-0.005323654040694237
1041600,-0.005323884543031454
1041900,-0.005322632845491171
1042200,-0.005322348792105913
1042500,-0.005319018382579088
1042800,-0.005322332959622145
1043100,-0.005322038196027279
1043400,-0.005322644021362066
1043700,-0.005326184909790754
1044000,-0.005324683617800474
1044300,-0.005277314689010382
1044600,-0.005310835782438517
1044900,-0.0053261020220816135
1045200,-0.0053296261467039585
1045500,-0.005330254789441824
1045800,-0.005331012886017561
1046100,-0.005330132786184549
1046400,-0.005329902283847332
1046700,-0.0053242105059325695
1047000,-0.0053291767835617065
1047300,-0.005330309271812439
1047600,-0.005332362838089466
1047900,-0.005330216139554977
1048200,-0.00532908458262682
1048500,-0.005332177504897118
1048800,-0.005331155378371477
1049100,-0.00532938539981842
1049400,-0.005327234975993633
1049700,-0.00532460818067193
1050000,-0.005331636872142553
1050300,-0.0053323060274124146
1050600,-0.005332339089363813
1050900,-0.00532906549051404
1051200,-0.005330370739102364
1051500,-0.0053322650492191315
1051800,-0.005332057364284992
1052100,-0.005331931635737419
1052400,-0.0053310878574848175
1052700,-0.005328238941729069
1053000,-0.0053247325122356415
1053300,-0.005330798216164112
